id_estudiante,id_periodo,promedio,asistencia,deserta,fse_puntos,fse_clase
20,7,4.333333,21.7,1,166,C
20,7,4.333333,21.7,1,166,C
20,7,4.333333,21.7,1,166,C
26,7,7.25,36.3,1,154,B
26,7,7.25,36.3,1,154,B
26,7,7.25,36.3,1,154,B
26,7,7.25,36.3,1,154,B
32,7,10.0,50.0,1,142,B
32,7,10.0,50.0,1,142,B
37,7,13.5,67.5,1,146,B
37,7,13.5,67.5,1,146,B
46,8,12.0,60.0,1,140,A
46,8,12.0,60.0,1,140,A
66,1,13.0,65.0,1,152,B
72,8,9.4,47.0,1,144,B
72,8,9.4,47.0,1,144,B
72,8,9.4,47.0,1,144,B
72,8,9.4,47.0,1,144,B
72,8,9.4,47.0,1,144,B
78,8,13.0,65.0,1,146,B
78,8,13.0,65.0,1,146,B
78,8,13.0,65.0,1,146,B
88,9,8.333333,41.7,1,144,B
88,9,8.333333,41.7,1,144,B
88,9,8.333333,41.7,1,144,B
121,8,9.5,47.5,1,156,B
121,8,9.5,47.5,1,156,B
121,8,9.5,47.5,1,156,B
121,8,9.5,47.5,1,156,B
122,8,11.2,56.0,1,158,B
122,8,11.2,56.0,1,158,B
122,8,11.2,56.0,1,158,B
122,8,11.2,56.0,1,158,B
122,8,11.2,56.0,1,158,B
123,8,7.0,35.0,1,140,A
125,5,10.6,53.0,1,166,C
125,5,10.6,53.0,1,166,C
125,5,10.6,53.0,1,166,C
125,5,10.6,53.0,1,166,C
125,5,10.6,53.0,1,166,C
128,9,12.8,64.0,1,144,B
128,9,12.8,64.0,1,144,B
128,9,12.8,64.0,1,144,B
128,9,12.8,64.0,1,144,B
128,9,12.8,64.0,1,144,B
140,8,12.0,60.0,1,150,B
140,8,12.0,60.0,1,150,B
140,8,12.0,60.0,1,150,B
140,8,12.0,60.0,1,150,B
144,9,11.6,58.0,1,142,B
144,9,11.6,58.0,1,142,B
144,9,11.6,58.0,1,142,B
144,9,11.6,58.0,1,142,B
144,9,11.6,58.0,1,142,B
154,9,12.666667,63.3,1,154,B
154,9,12.666667,63.3,1,154,B
154,9,12.666667,63.3,1,154,B
154,9,12.666667,63.3,1,154,B
154,9,12.666667,63.3,1,154,B
154,9,12.666667,63.3,1,154,B
177,9,11.25,56.3,1,136,A
177,9,11.25,56.3,1,136,A
177,9,11.25,56.3,1,136,A
177,9,11.25,56.3,1,136,A
188,9,12.0,60.0,1,162,C
188,9,12.0,60.0,1,162,C
188,9,12.0,60.0,1,162,C
188,9,12.0,60.0,1,162,C
188,9,12.0,60.0,1,162,C
188,9,12.0,60.0,1,162,C
189,7,11.5,57.5,1,154,B
189,7,11.5,57.5,1,154,B
189,7,11.5,57.5,1,154,B
189,7,11.5,57.5,1,154,B
190,9,13.0,65.0,1,138,A
190,9,13.0,65.0,1,138,A
190,9,13.0,65.0,1,138,A
190,9,13.0,65.0,1,138,A
190,9,13.0,65.0,1,138,A
201,8,9.75,48.8,1,150,B
201,8,9.75,48.8,1,150,B
201,8,9.75,48.8,1,150,B
201,8,9.75,48.8,1,150,B
203,9,7.0,35.0,1,148,B
203,9,7.0,35.0,1,148,B
203,9,7.0,35.0,1,148,B
205,9,6.5,32.5,1,140,A
205,9,6.5,32.5,1,140,A
252,8,11.0,55.0,1,142,B
252,8,11.0,55.0,1,142,B
252,8,11.0,55.0,1,142,B
263,9,10.125,50.6,1,148,B
263,9,10.125,50.6,1,148,B
263,9,10.125,50.6,1,148,B
263,9,10.125,50.6,1,148,B
263,9,10.125,50.6,1,148,B
263,9,10.125,50.6,1,148,B
263,9,10.125,50.6,1,148,B
263,9,10.125,50.6,1,148,B
266,8,10.2,51.0,1,136,A
266,8,10.2,51.0,1,136,A
266,8,10.2,51.0,1,136,A
266,8,10.2,51.0,1,136,A
266,8,10.2,51.0,1,136,A
279,9,12.777778,63.9,1,154,B
279,9,12.777778,63.9,1,154,B
279,9,12.777778,63.9,1,154,B
279,9,12.777778,63.9,1,154,B
279,9,12.777778,63.9,1,154,B
279,9,12.777778,63.9,1,154,B
279,9,12.777778,63.9,1,154,B
279,9,12.777778,63.9,1,154,B
279,9,12.777778,63.9,1,154,B
290,9,1.0,5.0,1,138,A
291,9,10.0,50.0,1,150,B
291,9,10.0,50.0,1,150,B
291,9,10.0,50.0,1,150,B
291,9,10.0,50.0,1,150,B
